No. Previous Orders by Customer,Customer Join Date,Customer Join Date_Year,Customer Join Date_Month,Customer Join Date_Day,Parent Service Category,Parent Service Category_Encoded,Service Name,Service Name_Encoded,Order Status,Order Status_Encoded,Order City,Order City_Encoded,Order Region,Order Region_Encoded,Desired Date,Desired Date_Year,Desired Date_Month,Desired Date_Day,Creation Date,Creation Date_Year,Creation Date_Month,Creation Date_Day,Finish Date,Finish Date_Year,Finish Date_Month,Finish Date_Day,Device,Device_android,Device_ios,Device_web,Price,Discount,Quoted Task?,Quoted Task?_AUTOMATIC_ALLOCATION,Quoted Task?_FAVORITE_ALLOCATION,Quoted Task?_MANUAL_ALLOCATION
0.08695652173913043,1400-06-23 23:34:56.410079+04:30,1400,6,23,نظافت و پذیرایی,25,کارگر ساده,218,Achar_Pending,0,تهران,8,چیتگر,776,1400-06-24 12:00:01.000000+04:30,1400,6,24,1400-06-24 01:17:39.962011+04:30,1400,6,24,1400-06-24 13:00:01.000000+04:30,1400,6,24,android,1.0,0.0,0.0,0.0,0.0,MANUAL_ALLOCATION,0.0,0.0,1.0
0.13043478260869565,1400-06-12 01:49:27.957223+04:30,1400,6,12,شستشو,20,مبل‌ شویی و شستشوی تشک,149,لغو شده,9,تهران,8,قلعه حسن خان,551,1400-06-24 12:00:01.000000+04:30,1400,6,24,1400-06-24 01:10:50.534415+04:30,1400,6,24,1400-06-24 13:00:01.000000+04:30,1400,6,24,android,1.0,0.0,0.0,0.0,0.0,MANUAL_ALLOCATION,0.0,0.0,1.0
0.0,1400-06-24 01:02:57.526617+04:30,1400,6,24,نصب و تعمیر لوازم خانگی,24,نصب و تعمیر یخچال و فریزر,188,تخصیص یافته,4,تهران,8,تهرانپارس (منطقه ۴),170,1400-06-24 13:30:02.000000+04:30,1400,6,24,1400-06-24 01:07:04.214258+04:30,1400,6,24,1400-06-24 14:30:02.000000+04:30,1400,6,24,web,0.0,0.0,1.0,0.0,0.0,AUTOMATIC_ALLOCATION,1.0,0.0,0.0
0.0,1400-06-24 01:00:16.964192+04:30,1400,6,24,باربری و جابجایی,3,اسباب کشی و حمل بار (درون و بین شهری),12,Achar_Pending,0,تهران,8,آیت الله سعیدی,26,1400-06-26 08:00:02.000000+04:30,1400,6,26,1400-06-24 01:04:59.628839+04:30,1400,6,24,1400-06-26 09:00:02.000000+04:30,1400,6,26,web,0.0,0.0,1.0,0.0,0.0,MANUAL_ALLOCATION,0.0,0.0,1.0
0.043478260869565216,1400-06-24 00:57:30.990525+04:30,1400,6,24,باربری و جابجایی,3,کارگر جابجایی و بسته بندی,217,لغو شده,9,تهران,8,شهرک غرب,440,1400-06-24 02:15:01.000000+04:30,1400,6,24,1400-06-24 01:02:39.039915+04:30,1400,6,24,1400-06-24 03:15:01.000000+04:30,1400,6,24,android,1.0,0.0,0.0,0.0,0.0,AUTOMATIC_ALLOCATION,1.0,0.0,0.0
0.08695652173913043,1400-06-23 23:34:56.410079+04:30,1400,6,23,نظافت و پذیرایی,25,سرویس لوکس نظافت,118,ثبت‌ شده,6,تهران,8,چیتگر,776,1400-06-25 07:00:01.000000+04:30,1400,6,25,1400-06-24 01:01:53.639309+04:30,1400,6,24,1400-06-25 12:00:01.000000+04:30,1400,6,25,android,1.0,0.0,0.0,0.7777777777777777,0.0,AUTOMATIC_ALLOCATION,1.0,0.0,0.0
0.043478260869565216,1400-06-24 00:57:30.990525+04:30,1400,6,24,باربری و جابجایی,3,کارگر جابجایی و بسته بندی,217,لغو شده,9,تهران,8,شهرک غرب,440,1400-06-25 01:30:01.000000+04:30,1400,6,25,1400-06-24 01:00:24.283206+04:30,1400,6,24,1400-06-25 02:30:01.000000+04:30,1400,6,25,android,1.0,0.0,0.0,0.0,0.0,AUTOMATIC_ALLOCATION,1.0,0.0,0.0
0.0,1400-06-24 00:32:00.114454+04:30,1400,6,24,دکوراسیون و بازسازی,17,تعمیر و نصب کابینت,62,Achar_Pending,0,تهران,8,اوین,86,1400-06-25 11:30:01.000000+04:30,1400,6,25,1400-06-24 00:48:35.205799+04:30,1400,6,24,1400-06-25 12:30:01.000000+04:30,1400,6,25,android,1.0,0.0,0.0,0.0,0.0,MANUAL_ALLOCATION,0.0,0.0,1.0
0.0,1400-06-24 00:44:52.320249+04:30,1400,6,24,دکوراسیون و بازسازی,17,بنایی,33,Achar_Pending,0,تهران,8,فاطمی,512,1400-06-24 02:45:02.000000+04:30,1400,6,24,1400-06-24 00:48:32.594088+04:30,1400,6,24,1400-06-24 03:45:02.000000+04:30,1400,6,24,web,0.0,0.0,1.0,0.0,0.0,MANUAL_ALLOCATION,0.0,0.0,1.0
0.0,1400-06-24 00:43:01.144854+04:30,1400,6,24,شستشو,20,قالیشویی,145,Achar_Pending,0,تهران,8,خیابان وحدت اسلامی,266,1400-06-25 16:00:02.000000+04:30,1400,6,25,1400-06-24 00:48:28.346230+04:30,1400,6,24,1400-06-25 17:00:02.000000+04:30,1400,6,25,web,0.0,0.0,1.0,0.0,0.0,MANUAL_ALLOCATION,0.0,0.0,1.0
